AuthorName,BooksName,Links
"Dickens, Charles","The Letters of Charles Dickens. Vol. 1, 1833-1856",https://www.gutenberg.org/ebooks/25852
"Dickens, Charles","The Letters of Charles Dickens. Vol. 2, 1857-1870",https://www.gutenberg.org/ebooks/25853
"Dickens, Charles","The Letters of Charles Dickens. Vol. 3, 1836-1870",https://www.gutenberg.org/ebooks/25854
"Dickens, Charles",Het leven en de lotgevallen van David Copperfield,https://www.gutenberg.org/ebooks/47933
"Dickens, Charles",Little Dorrit,https://www.gutenberg.org/ebooks/963
"Doyle, Arthur Conan",The Adventure of the Bruce-Partington Plans,https://www.gutenberg.org/ebooks/2346
"Doyle, Arthur Conan",The Adventure of the Cardboard Box,https://www.gutenberg.org/ebooks/2344
"Doyle, Arthur Conan",The Adventure of the Devil's Foot,https://www.gutenberg.org/ebooks/8633
"Doyle, Arthur Conan",The Adventure of the Dying Detective,https://www.gutenberg.org/ebooks/2347
"Doyle, Arthur Conan",The Adventure of the Red Circle,https://www.gutenberg.org/ebooks/8628
"Doyle, Arthur Conan",The Adventure of Wisteria Lodge,https://www.gutenberg.org/ebooks/8626
"Doyle, Arthur Conan",The Adventures of Gerard,https://www.gutenberg.org/ebooks/1644
"Doyle, Arthur Conan",The Adventures of Sherlock Holmes,https://www.gutenberg.org/ebooks/28733
"Doyle, Arthur Conan","Adventures of Sherlock Holmes
Illustrated",https://www.gutenberg.org/ebooks/48320
"Doyle, Arthur Conan",Baskervillen koira,https://www.gutenberg.org/ebooks/32536
"Doyle, Arthur Conan",Beyond the City,https://www.gutenberg.org/ebooks/356
"Doyle, Arthur Conan","The Cabman's Story
The Mysteries of a London 'Growler'",https://www.gutenberg.org/ebooks/17398
"Doyle, Arthur Conan","The Captain of the Polestar, and Other Tales",https://www.gutenberg.org/ebooks/8617
"Doyle, Arthur Conan","The Case for Spirit Photography
With corroborative evidence by experienced researchers and photographers",https://www.gutenberg.org/ebooks/59809
"Doyle, Arthur Conan",The Coming of the Fairies,https://www.gutenberg.org/ebooks/47506
"Doyle, Arthur Conan",The Crime of the Congo,https://www.gutenberg.org/ebooks/37712
"Doyle, Arthur Conan",The Croxley Master: A Great Tale Of The Prize Ring,https://www.gutenberg.org/ebooks/38443
"Doyle, Arthur Conan",Danger! and Other Stories,https://www.gutenberg.org/ebooks/22357
"Doyle, Arthur Conan","The Dealings of Captain Sharkey, and Other Tales of Pirates",https://www.gutenberg.org/ebooks/34627
"Doyle, Arthur Conan","A Desert Drama: Being The Tragedy Of The ""Korosko""",https://www.gutenberg.org/ebooks/21768
"Doyle, Arthur Conan",The Disappearance of Lady Frances Carfax,https://www.gutenberg.org/ebooks/8632
"Doyle, Arthur Conan",The Doings of Raffles Haw,https://www.gutenberg.org/ebooks/8394
"Doyle, Arthur Conan",De dood van Sherlock Holmes — De terugkeer van Sherlock Holmes,https://www.gutenberg.org/ebooks/29490
"Doyle, Arthur Conan","A Duet, with an Occasional Chorus",https://www.gutenberg.org/ebooks/5260
"Doyle, Arthur Conan",Enoni: muistoja Napoleonin ajoilta,https://www.gutenberg.org/ebooks/14254
"Doyle, Arthur Conan",Etienne Gerards Bedrifter,https://www.gutenberg.org/ebooks/29392
"Doyle, Arthur Conan",The Exploits of Brigadier Gerard,https://www.gutenberg.org/ebooks/11247
"Doyle, Arthur Conan",The Firm of Girdlestone,https://www.gutenberg.org/ebooks/13152
"Doyle, Arthur Conan",The German War,https://www.gutenberg.org/ebooks/42127
"Doyle, Arthur Conan",La grande ombre,https://www.gutenberg.org/ebooks/13735
"Doyle, Arthur Conan",The Great Boer War,https://www.gutenberg.org/ebooks/3069
"Doyle, Arthur Conan",The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,https://www.gutenberg.org/ebooks/32777
"Doyle, Arthur Conan",The Great Shadow and Other Napoleonic Tales,https://www.gutenberg.org/ebooks/11656
"Doyle, Arthur Conan","The Green Flag, and Other Stories of War and Sport",https://www.gutenberg.org/ebooks/10446
"Doyle, Arthur Conan","La guardia blanca
novela histórica escrita en inglés",https://www.gutenberg.org/ebooks/36453
"Doyle, Arthur Conan","The Guards Came Through, and Other Poems",https://www.gutenberg.org/ebooks/38071
"Doyle, Arthur Conan","The Gully of Bluemansdyke, and Other stories",https://www.gutenberg.org/ebooks/40848
"Doyle, Arthur Conan",His Last Bow,https://www.gutenberg.org/ebooks/9554
"Doyle, Arthur Conan",His Last Bow: An Epilogue of Sherlock Holmes,https://www.gutenberg.org/ebooks/2350
"Doyle, Arthur Conan",Le Horror Altissime,https://www.gutenberg.org/ebooks/15949
"Doyle, Arthur Conan",The Hound of the Baskervilles,https://www.gutenberg.org/ebooks/9552
"Doyle, Arthur Conan",Index of the Project Gutenberg Works of Arthur Conan Doyle,https://www.gutenberg.org/ebooks/58574
"Doyle, Arthur Conan","Jim Harrison, boxeur",https://www.gutenberg.org/ebooks/13734
"Doyle, Arthur Conan",Kadonnut maailma,https://www.gutenberg.org/ebooks/51818
"Doyle, Arthur Conan",Kadonnut pikajuna y.m. kertomuksia,https://www.gutenberg.org/ebooks/54933
"Doyle, Arthur Conan",Kauhun laakso 1: Murhenäytelmä Birlstonen kartanossa,https://www.gutenberg.org/ebooks/52677
"Doyle, Arthur Conan",Kauhun laakso 2: Salaseuralaiset,https://www.gutenberg.org/ebooks/52678
"Doyle, Arthur Conan",The Last Galley; Impressions and Tales,https://www.gutenberg.org/ebooks/8727
"Doyle, Arthur Conan",The Last of the Legions and Other Tales of Long Ago,https://www.gutenberg.org/ebooks/26153
"Doyle, Arthur Conan",The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,https://www.gutenberg.org/ebooks/2038
"Doyle, Arthur Conan",The Lost World,https://www.gutenberg.org/ebooks/139
"Doyle, Arthur Conan","The Man from Archangel, and Other Tales of Adventure",https://www.gutenberg.org/ebooks/34797
"Doyle, Arthur Conan",The Memoirs of Sherlock Holmes,https://www.gutenberg.org/ebooks/834
"Doyle, Arthur Conan","Micah Clarke
His Statement as made to his three grandchildren Joseph, Gervas and Reuben During the Hard Winter of 1734",https://www.gutenberg.org/ebooks/9504
"Doyle, Arthur Conan","Micah Clarke - Tome III
La Bataille de Sedgemoor",https://www.gutenberg.org/ebooks/18718
"Doyle, Arthur Conan","Micah Clarke - Tome II
Le Capitaine Micah Clarke",https://www.gutenberg.org/ebooks/18717
"Doyle, Arthur Conan","Micah Clarke - Tome I
Les recrues de Monmouth",https://www.gutenberg.org/ebooks/18716
"Doyle, Arthur Conan",My Friend The Murderer,https://www.gutenberg.org/ebooks/23059
"Doyle, Arthur Conan",Myrkkyvyöhyke,https://www.gutenberg.org/ebooks/54158
"Doyle, Arthur Conan",The Mystery of Cloomber,https://www.gutenberg.org/ebooks/7964
"Doyle, Arthur Conan",Nahkaratti,https://www.gutenberg.org/ebooks/56573
"Doyle, Arthur Conan",Napoleonin sotilaan seikkailut,https://www.gutenberg.org/ebooks/49584
"Doyle, Arthur Conan",Neljän merkit,https://www.gutenberg.org/ebooks/52099
"Doyle, Arthur Conan",The New Revelation,https://www.gutenberg.org/ebooks/8622
"Doyle, Arthur Conan",Nouveaux mystères et aventures,https://www.gutenberg.org/ebooks/13795
"Doyle, Arthur Conan",The Parasite,https://www.gutenberg.org/ebooks/8618
"Doyle, Arthur Conan",The Parasite: A Story,https://www.gutenberg.org/ebooks/355
"Doyle, Arthur Conan",The Poison Belt,https://www.gutenberg.org/ebooks/8613
"Doyle, Arthur Conan","The Refugees
A Tale of Two Continents",https://www.gutenberg.org/ebooks/11413
"Doyle, Arthur Conan",The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/221
"Doyle, Arthur Conan",Rodney Stone,https://www.gutenberg.org/ebooks/36050
"Doyle, Arthur Conan",Round the Fire Stories,https://www.gutenberg.org/ebooks/54109
"Doyle, Arthur Conan",Round the Red Lamp,https://www.gutenberg.org/ebooks/8619
